nx,ny,elements,dofs,peak_w_m,peak_w_mm,peak_w_over_h,peak_x_m,peak_y_m,change_from_previous_pct,difference_from_finest_pct,chang1980_gap_pct,force_balance_rel,moment_balance_rel,free_residual_rel,ymid_symmetry_rel
4,4,16,75,0.00673678970688304,6.73678970688304,0.673678970688304,1,0.5,NaN,0.36844337737505,1.11918164456626,8.50377546157688e-14,1.27442945085932e-13,1.66841818063928e-13,5.44612539700082e-14
8,8,64,243,0.00671709678452396,6.71709678452396,0.671709678452396,1,0.5,0.293176099597885,0.07504725715578,1.40822915286038,1.19462129077874e-12,1.62219748744974e-12,1.37605301049152e-12,2.512820637056e-13
16,16,256,867,0.0067129014672733,6.7129014672733,0.67129014672733,1,0.5,0.0624963329360952,0.0125430852513656,1.46980691037625,1.96766904991819e-11,2.89358013105812e-11,2.30670632106434e-11,1.28484607804918e-12
32,32,1024,3267,0.00671205956791957,6.71205956791957,0.671205956791957,1,0.5,0.0125430852513656,0,1.48216408652268,3.10925202029466e-10,4.72920305583102e-10,3.42842502908917e-10,2.02218063706671e-11
