y_m,fem_w_m,fem_w_mm,xmax_edge_is_free,fem_coefficient,tian2011_coefficient_3sf,chang1980_coefficient
0,0.00661589667129928,6.61589667129928,1,0.127228782140371,0.127,0.12933
0.25,0.00668563907804306,6.68563907804306,1,0.128569982270059,0.129,0.13056
0.5,0.00671205956791957,6.71205956791957,1,0.129078068613838,0.129,0.13102
0.75,0.00668563907797415,6.68563907797415,1,0.128569982268734,0.129,0.13056
1,0.00661589667116355,6.61589667116355,1,0.127228782137761,0.127,0.12933
